Date,Question,Answer
2023/5/30 16:54,你好董秘，人形机器人是否会用到大量的碳纤维，对公司的设备是不是会起到拉动作用？ ,精工科技：尊敬的投资者，机器人制造领域将是碳纤维大有作为的新兴市场，后续，随着碳纤维产业链核心技术的不断突破、应用成本的降低和性价比的提升，碳纤维应用场景将会越来越广泛和普及，市场对碳纤维需求量的增长将促进公司碳纤维装备的销售。精工科技通过近几年的不断创新、发展，目前碳纤维系列装备已形成批量化的生产能力，正在逐步实现“进口替代”。感谢您对精工科技的关注！
2023/5/15 16:10,请问董秘，贵公司会参加吉林国兴碳纤维关于国兴碳纤维有限公司年产60000吨碳纤维项目（8条碳化生产线）的招标吗？ ,精工科技：尊敬的投资者，参与招投标为公司碳纤维装备获取订单的主要方式之一，涉及公司碳纤维装备产品的项目招投标活动，公司均积极参与，如中标金额达到信息披露标准，公司均会及时履行信息披露义务。感谢您对精工科技的关注！
2023/5/10 16:28,请问董秘，元峻有限公司诉公司侵害发明专利权纠纷案是否会对公司碳纤维设备生产实质性伤害？ ,精工科技：尊敬的投资者，有关您提及的诉讼事项，公司高度重视，积极采取法律措施，依法主张维护自身合法权益，并积极应诉。公司产线中使用的氧化炉系自主研发，具有自主知识产权。目前，公司向国家知识产权局专利局提出无效宣告请求已受理，并已收到了国家知识产权局发文授予的预氧化炉的发明专利权通知书。该诉讼事项不会对公司碳纤维设备生产销售造成实质性影响。感谢您对精工科技的关注！
2023/4/20 13:19,请问董秘，到目前为止，公司还没有新的碳纤维设备新订单公告，公司是否掌握哪些公司在建碳纤维项目，预计能拿下多少订单？ ,精工科技：尊敬的投资者，目前，公司在持续做好碳纤维装备工艺技术创新、升级换代、国产化替代等各项工作的同时，正在全力拓展市场，公司不存在应披露而未披露的信息。感谢您对精工科技的关注！
2023/3/29 14:09,沙特阿美溢价一倍投资萧山企业荣盛石化，沙特阿美也有碳纤维产业的大规模布局，请问公司，是否与沙特阿美有业务上的前期洽淡和未来合作的意向， ,精工科技：尊敬的投资者，截至目前，公司与沙特阿美尚无业务上的合作。感谢您对公司的关注！
2023/3/22 11:55,请问董秘，今年换董事，公司运营会不会有什么影响 ,精工科技：尊敬的投资者，目前，公司生产经营一切正常，感谢您对精功科技的关注！
2023/3/20 15:07,GhatGPT-4 人工智能，编程对贵公司机器人设备，碳纤维产业链设备研发和改进，能够大幅提高工作效率和研发进度，请问贵公司，后续有考虑介入GPT-4这个产业来协助公司大跨越 ,"精工科技：尊敬的投资者，根据公开资料显示，GhatGPT-4是OpenAI发布的一款多模态大模型产品，其对设计画图、编程等有一定帮助，根据国内相应政策条款，目前，公司暂无GPT-4相关的应用和业务,公司技术开发部门将持续关注GhatGPT-4 人工智能相关技术的发展及应用情况。感谢您对精功科技的关注！"
2023/2/28 15:01,特斯拉3月1日秘密宏图第三篇章或许和碳纤维有关，毕竟新能源车未来轻量化的趋势是碳纤维。请问贵司碳纤维设备是否量产？ ,精工科技：尊敬的投资者，精功科技通过近几年的不断创新、发展，目前碳纤维生产线已实现国产化，形成系列化、批量化的生产能力，公司可以根据客户的不同需求定制1K—50K各种宽幅碳纤维生产线并提供系统解决方案，满足客户个性化需求。感谢您对精功科技的关注！
2023/1/17 10:44,请问董秘，新的一年，精功科技有无新的碳纤维设备订单？ ,精工科技：尊敬的投资者，2023年公司将进一步优化产业布局，集中优势资源，聚焦“碳纤维装备、碳中和（新能源）装备”双“碳”核心产业，加大碳纤维装备市场开拓力度，加快“设备供应商”向“系统集成解决方案提供商”转变进程。感谢您对精功科技的关注！
2023/1/17 10:37,请问董秘，精功科技是否参加吉林化纤高性能碳纤维项目招投标？ ,精工科技：尊敬的投资者，目前，公司不存在应披露而未披露的信息，感谢您对精功科技的关注！
