Date,Question,Answer
2023-05-27 15:19:12,"董秘您好，公司5月23日发布的《关于签订日常经营重大合同的公告》可以看出，客户A在去年12月20日刚与公司签订38,781.60万的焊接柔性自动线合同，现在又签订33,725.30万焊接自动线和7,032.96万主线柔性自动线合同，是否说明年前12月份所签合同已基本履行完毕？另外，去除客户A所签订经营合同，自4月1日起至今，签订的其他经营合同金额大概有多少？谢谢！ ",三丰智能：尊敬的投资者您好！公司与客户签订的合同均在正常履行过程中。公司具体的合同签订情况，敬请关注公司定期报告和公告。感谢您的关注！
2023-05-27 15:18:18,尊敬的董秘，你好，具身智能做为未来的发展趋势，公司在具身智能方面有什么布局吗 ,三丰智能：尊敬的投资者您好！我们对具身智能的定义是：具身智能理解图像，还能理解、生成语言，可执行各种复杂的机器人指令而无需重新训练，具有迁移能力；具备能力定义：i 听懂人类语言，ii 分解任务、规划子任务，iii 识别物体，与环境交互，最终完成相应任务。自主规划、决策、行动、执行能力的机器人/仿真人（指虚拟环境中）是AI的终极形态，我们暂且称之为“具身智能机器人”。它的实现包含了人工智能领域内诸多的技术，例如计算机视觉、自然语言处理、机器人学等。现在具身智能已经在多个领域得到了广泛的应用和研究。例如，在公司智能物流AGV机器人和智能立体仓储领域，具身智能技术可以通过自主感知和控制实现自动化物流过程。未来公司会持续关注具身智能相关的技术迭代及行业发展变化，感谢您的关注！
2023-05-27 15:16:26,请问董秘：公司净利2.7%比组装厂都不如，手握几十亿订单却没业绩，是生产规模跟不上还是采购成本过高？ ,三丰智能：尊敬的投资者您好，公司旗下工厂占地800余亩，其中生产性建设面积20多万平方米，各类数控加工设备300余台套，具备强大的整体制造加工能力，可以为客户提供从设计到制造安装的一站式服务。公司现有产能可以满足目前订单量的需求，随着下游客户市场内需波动影响，汽车制造装备市场竞争也非常激烈，公司将通过不断扩展优质客户资源，发挥获单能力强的优势，以规模效应控制成本，提高经营业绩，感谢您的关注！
2023-05-27 15:13:02,贵公司是否有人形机器人生产设备？ ,三丰智能：尊敬的投资者您好！公司一直以来，高度聚焦工业机器人等核心产品及相关自动化领域，公司密切跟踪人形机器人技术发展趋势动态，结合人形机器人制造工艺对自动化物流装备的需求，积极拓展AGV机器人和智能立库业务在相关市场的应用场景。感谢您的关注！
2023-05-27 15:12:23,董秘，你好！公司的产品出口俄罗斯和中亚等国家？ ,三丰智能：尊敬的投资者你好，公司的主营业务产品不仅覆盖国内众多行业客户，还远销东南亚、北美及非洲等国家，谢谢对公司的关注！
2023-05-27 15:11:46,公司的机器人产线，可以生产军用或战地运送武器的机器人吗 ,三丰智能：尊敬的投资者您好！公司控股子公司湖北三丰机器人有限公司是一家专业从事AGV自导引小车，搬运机器人及机器人自动化生产线的研发生产的高新技术企业。公司核心竞争产品包括汽车底部合装AGV、总装物流AGV、工程机械重载AGV、智能工作台AGV等技术高含量的工业移动机器人。公司主营业务产品智能输送成套装备和自动化物流设备可广泛应用于各类工业生产场景，也适用于军工相关工艺自动化物流场景。感谢您的关注！
2023-05-27 15:10:56,公司与东风系汽车有深度合作吗，在此次湖北政企促销活动中，对于公司有积极作用获得更多更广的市场？ ,三丰智能：尊敬的投资者您好！东风系车企是公司众多合作客户之一，此次湖北省政企联合发起的汽车促销活动会促进车企加快车型的改款换代，间接会对汽车生产装备后期市场需求带来新的增量。感谢您对公司的关注！
2023-02-20 11:44:15,请问董秘，贵公司去年成立的湖北金丰新能源科技公司，目前有没实质性的订单，新能源公司的发展方向有哪些，新能源这块多久能贡献新的增长点？ ,三丰智能：尊敬的投资者您好！公司控股子公司湖北金丰智慧新能源科技有限公司成立于2022年11月25日，注册资本人民币1亿元，主要从事新能源（太阳能、风能、光充及光储充等）项目的开发、建设、运营与咨询服务。目前公司与合作方基于市场项目推进开展前期相关工作，力争获取优质新能源项目订单增强公司发展动能。感谢您对公司的关注！
2023-02-13 14:16:00,请问贵公司有chartGTP相关应用吗？在人工智能方面的布局如何？ ,三丰智能：尊敬的投资者您好！公司将始终围绕主营业务，将优势资源向核心业务集中。公司会持续关注前沿科技领域，但目前未涉及聊天AI领域。感谢您对公司的关注！
2023-02-13 14:14:07,董秘，请问公司目前进行减速器的研发了吗？公司的运动机器人拥有自主知识产权？ ,三丰智能：尊敬的投资者您好！（1）减速器作为公司产品的零部件之一，为非核心零部件，截至目前公司没有进行减速器相关的研发。（2）公司经过多年的技术积累，在移动机器人研发、生产工艺设计、产品检测等环节形成了自己的核心技术，在移动机器人关键的导航技术、控制算法等方面拥有完善的自主知识产权，并已申请了相关专利和软件著作权，产品及技术处于国内领先水平。感谢您对公司的关注！
2023-01-19 16:28:58,请问小米造车研发的两款车型是否跟贵公司有开展合作，请问董秘跟小米的合作有进展了吗？谢谢 ,三丰智能：尊敬的投资者您好！公司与国内各大车企建立了良好的合作伙伴关系，积累了丰富的客户资源，公司销售部人员时刻关注汽车行业的发展变化，积极跟进国内各大车企的投资状况，与客户时刻保持着密切的联系。如有涉及信息披露义务的，公司将严格按照相关规定履行信息披露义务，感谢您对公司的关注！
2023-01-19 16:09:01,"请问董秘,比亚迪郑州港区建厂,贵公司有参与吗 ",三丰智能：尊敬的投资者您好！公司密切关注各大新能源汽车及产业链相关企业市场发展情况，充分利用公司在装备、技术、项目管理等方面的优势，为比亚迪等国内头部客户提供优质的服务，感谢您对公司的关注！
