Date,Question,Answer
2023-05-31 09:24:47,公司在全国拥有多个制造、研发基地，产品也远销国外，请问现在各个基地的印章是如何管理的，有没有使用契约锁来建立统一的印章管理平台呢？ ,柳工：您好！公司已建立完善的印章管理制度体系。针对独立法人，其印章需同时在当地公安局和公司总部进行备案。第二，公司暂未应用契约锁软件。谢谢！
2023-05-25 16:43:14,请问贵司除息分红日啥时候公布 ,柳工：您好！公司将在5月26日召开股东大会，并根据规定将在两个月内实施分红派息，敬请关注公司后续公告。谢谢！
2023-05-15 20:35:54,董秘您好！年报区域划分分部披露的其他工程机械及零部件主营业务收入合计为79亿，境外只有3000多万，所以这79亿的口径是不含配件收入吗？ ,柳工：您好！请详见上一条问题的回复。谢谢！
2023-05-13 10:13:47,2022年报披露的其他工程机械及零部件合计收入为84亿，但是区域划分分部披露的收入合计为79亿，为什么数据不一致？且境外只有4千万，是什么口径？ ,柳工：您好！2022年报中，其他工程机械及零部件合计收入的84亿元是整体营业收入，而区域划分分部披露的数据为主营业务收入，二者的统计口径不同。第二，境外收入主要来源于土石方业务和预应力业务，其他工程机械及零部件业务销售收入相对较少。谢谢！
2023-05-09 13:50:53,请简单介绍一下贵公司在新能源领域规划和发展情况，谢谢。 ,柳工：电动化是工程机械行业的未来发展趋势，也是中国品牌扬帆出海的重要机遇。2022年，柳工坚持自主创新，加速全产品线电动化产品产业化和市场化推广，电动化产品的销售收入大幅增长，毛利率优于燃油版产品。十四五期间，柳工将继续深化实施“全面智能化”战略，加速推动各产品线的电动化，并不断提升其规模和盈利能力。
2023-05-06 17:08:42,本人做为贵公司长期股东，想请教以下几点问题，希望能给与答复：1.请问广西大运河项目，贵公司做为当地工程机械龙头企业，目前，参与度 到什么程度，目前大概有多少设备和人员参与平路运河项目，以后对公司业绩有多大影响？2.请问贵公司有没有打算做市值管理，谢谢！ ,柳工：您好！请详见上一条问题的回复。谢谢！
2023-05-05 11:25:57,亲爱的董秘：你好！本人做为贵公司长期股东，想请教以下几点问题，希望能给与答复：1.请问广西大运河项目，贵公司做为当地工程机械龙头企业，目前，参与度 到什么程度，目前大概有多少设备和人员参与平路运河项目，以后对公司业绩有多大影响？2.请问贵公司有没有打算做市值管理，谢谢！ ,柳工：您好！柳工是平陆运河项目的主要土方机械供应商之一。截至目前，共租赁和销售土方机械200台左右。第二，公司有市值管理规划，目前正在实施中。谢谢！
2023-05-05 11:25:14,董秘您好！柳工2022年报已出，针对此次年报披露信息中第三节（管理讨论与分析）有两个问题向您咨询：一、第四小节（主营业务分析）（四）研发投入2.公司研发人员情况中，期初（2021年）有研发人员1207人，而在2021年报披露当年期末（2021年）有研发人员1779人，请问数据不一致的原因是什么？二、第九小节（主要控股参股公司分析）中，没有披露子公司柳州柳工挖掘机有限公司信息，请问原因是什么？ ,柳工：您好！公司在2021年报中披露的研发人员数量包含了制造系统的技术人员。在2022年报中，公司调整了统计口径，将制造系统的技术人员剔除出研发人员序列，因此出现了数据差异。第二，因为子公司净利润相对于公司净利润的占比未超过10%，没有达到披露标准，无需对外披露。谢谢！
2023-04-28 15:45:12,公司去年资产重组后业绩和股价皆未有明显正向反应，与其它三家主要整机厂的差距越拉越大，请问公司作何感想，有何增厚业绩的计划？ ,柳工：您好！请查阅公司及行业的年报和季报。谢谢！
2023-04-22 16:22:22,董秘，你好！贵司2023年3月23日发布的可转债说明书：初始转股价格为7.87元/股，不低于募集说明书公告日前20个交易日股票均价，即2023年2月24日至3月22日，但这期间最高价才7.2元/股（查询了这期间的公告，没有发现有除权、除息信息）。对此深感困惑，期待你的答复（如何计算得出的）！ ,柳工：您好！根据《可转换公司债券募集说明书》以及国资委相关规定和要求，国有上市公司可转债发行，初始转股价格不得低于募集说明书公告日前二十个交易日公司A股股票交易均价和前一个交易日公司A股股票交易均价。同时，初始转股价格不得低于最近一期经审计的每股净资产和股票面值。 2021年末，公司每股净资产为7.87元。谢谢！
2023-04-21 19:10:59,董秘好！自四月份以来，柳工公众号没有任何产品批量发往海外的消息，请问是海外需求减缓还是有其它变故？谢谢 ,柳工：您好！今年一季度，柳工国际业务再创新高：销售收入和净利润实现同比正增长，工程机械海外出口量同比大幅提升，海外销量超7000台，同比增长40%。第二季度，柳工将持续深耕国际市场，推进全球业务协同发展。谢谢！
