Date,Question,Answer
2021-09-22 14:41:00,请问公司海南合作有没有什么进展？ ,飞亚达B：您好，感谢您对飞亚达公司的关注！公司已于今年6月完成在海南新设全资子公司事项，并继续着力拓展海南免税合作业务。目前公司已与部分免税持牌商达成合作，并引入部分中高端品牌，渠道布局取得积极进展。谢谢！
2021-09-14 14:28:00,公司近期还有回购B股计划吗？，其实我觉得让A股配股，用配股资金全部收购B股更快！ ,飞亚达B：您好，感谢您对飞亚达公司的关注和建议！公司近年来连续推出两期B股回购方案，累计回购B股股份约2400万股。后续如有相关事项，公司将按照有关规定履行信息披露义务。谢谢！
2021-09-14 14:27:00,尊敬的董秘，请问截止2021年9月10日A股股东户数是多少？机构户数多少？ ,"飞亚达B：您好，感谢您对飞亚达公司的关注！截至9月10日，公司A股股东户数为23,810人。谢谢！"
2021-09-14 14:26:00,尊敬的董秘，请问截止2021年8月30日A股股东户数是多少？机构户数多少？ ,"飞亚达B：您好，感谢您对飞亚达公司的关注！截至8月31日，公司A股股东户数为22,790人。谢谢！"
2021-09-14 14:25:00,请问公司有机床业务麽？ ,飞亚达：您好，感谢您对飞亚达公司的关注！公司精密科技业务主要生产激光器、光通讯连接件等精密零部件，公司机床设备用于精密零部件生产。谢谢！
2021-09-07 15:52:00,公司生产手表这样的高端消费品。为什么净利率那么低，是否和公司机芯依赖进口有关，是否具有自主研发高端机芯的能力？ ,飞亚达：您好，感谢您对飞亚达公司的关注！公司持续致力于精密科技研发能力建设，已分别于深圳和瑞士建立了研发生产基地，在手表自有机心技术和关键零部件制造、航天表研制与高端制表技艺等方面不断积淀、提升。谢谢！
2021-09-07 15:52:00,贵公司有无自主陀飞轮技术手表? ,飞亚达：您好，感谢您对飞亚达公司的关注！公司具备自主研发生产陀飞轮的技术，并在自有品牌部分高端系列产品中应用。谢谢！
2021-09-07 15:51:00,"请介绍一下精密件在医疗、光通讯和激光器行业的推广进展情况,谢谢! ",飞亚达：您好，感谢您对飞亚达公司的关注！公司精密科技业务主要生产激光器、光通讯连接件等精密零部件，未来公司将加速航空航天、医疗等市场拓展。谢谢！
2021-09-03 14:23:00,建议公司与中国黄金、华为合作原因是：1、传统腕表市场已经饱和。2、奢侈品腕表只认瑞士。3、场租费销售费吞噬了绝大部分利润。中国黄金华为在卖场和营销上都非常强，公司航空军工品质独一无二。合作可以分享对方的卖场和客户资源。而对方也找不到比公司更有影响力的国内腕表企业。华为能卖车就不能卖表吗。华为自己生产手表无法超越苹果，与公司合作就可以超越苹果主打3千至1万的市场。公司可以主动与对方洽谈一下。 ,飞亚达B：您好，感谢您对飞亚达公司的关注和建议！
2021-09-03 14:23:00,腕表未来新的发展方向有两个，一是首饰方向，希望公司能与中国黄金合作，采用私人订制模式，体现保值增值意义，由文创部门负责。二是时代方向，时代离不开5G物联网人工智能，公司要与华为合作，将公司航天军工精密制造品质与华为领先的IT科技相结合，由IT部门负责。传统与创新要分开管理，传统上消费者认同的就是瑞士，疫情反而给公司提供了抢占国内市场的机会。创新上是公司的未来，毕竟传统腕表市场在逐渐萎缩。 ,飞亚达B：您好，感谢您对飞亚达公司的关注和建议！
2021-09-03 14:18:00,尊敬的董秘，请问截止2021年8月30日A股股东户数是多少？机构户数多少？ ,"飞亚达B：您好，感谢您对飞亚达公司的关注！截至8月31日，公司A股股东户数为22,790人。谢谢！"
2021-08-23 11:51:00,尊敬的董秘，请问截止2021年8月20日A股股东户数是多少？机构户数多少？ ,"飞亚达B：您好，感谢您对飞亚达公司的关注！截至8月20日，公司A股股东户数为22,018人。谢谢！"
2021-08-23 11:50:00,您好！请问贵公司在2018年是否进行了社会捐赠？具体数额是多少？这些捐赠信息是否在公司的CSR报告经公开？如果并未披露，请问原因是什么？谢谢！ ,"飞亚达B：您好，感谢您对飞亚达公司的关注！2018年，公司通过“青蓝使命”慈善拍卖晚会筹集善款163,686元，全部捐赠用于云南边疆的教育扶持。具体详见公司2018年度企业社会责任报告。谢谢！"
2021-08-11 14:57:00,尊敬的董秘，请问截止2021年8月10日A股股东户数是多少？机构户数多少？ ,"飞亚达B：您好，感谢您对飞亚达公司的关注！截至8月10日，公司A股股东户数为21,871人。谢谢！"
2021-08-03 13:46:00,尊敬的董秘，请问截止2021年7月30日A股股东户数是多少？机构户数多少？ ,"飞亚达B：您好，感谢您对飞亚达公司的关注！截至7月30日，公司A股股东户数为21,124人。谢谢！"
