Date,Question,Answer
2023-01-11 15:23:19,贵公司今年以来产品相继在埃及、哥伦比亚、俄罗斯、印度尼西亚、马来西亚、越南等地获批，动作频繁。是否意味公司正在积极开拓海外市场？ ,凯利泰：您好，感谢您对公司的关注与支持，公司一直持续推进国际化战略，积极开拓海外市场，纵向上，以PKP/PVP产品、Elliquence产品这两条主产品线为依托，对各产品线进行销售划分，分别设立相应的职能管理岗，分条线对各国家的外贸发展业务进行管控；横向上，由国际贸易部对所有产品线的外贸业务进行战略衔接和统筹管理。 未来，公司也将根据业务发展情况，适时考虑建立海外分支机构等方式进一步渗透海外市场，实现公司的国际化战略和国际化跨越。谢谢。
2023-01-11 14:59:53,"请问公司,近一年公司股价低迷不振,几无机构调研,股东除了不断卖出,不见公司高管增持,公司也无回购,更不见机构买入,请问,这是对公司无信心吗?请问公司近期有无回购计划和高管增持计划?（不要拿疫情说事） ",凯利泰：您好，感谢您对公司的关注与支持，公司近期暂无回购计划和高管增持计划，谢谢。
2023-01-11 14:59:00,董敏你好！就目前公司在当下经济环境下，上半年业绩还处于正增长趋势，实属不易，请问，股价已经处于市场低洼预期，股东是否考虑增持计划，完善公司股权架构？ ,凯利泰：您好，感谢您对公司的关注与支持，目前公司主要股东暂无增持计划，谢谢。
2023-01-11 14:58:13,董秘你好，冠脉支架采集对公司有什么正面影响？ ,凯利泰：您好，感谢您对公司的关注与支持，目前公司主营产品中没有心血管相关产品，冠脉支架采集对公司基本不构成影响，谢谢。
2022-08-31 14:32:00,请问公司是否有老年人适用的骨科设备及耗材？ ,凯利泰：您好，感谢您对公司的关注与支持。公司绝大多数骨科类产品适用人群都包含老年人群，例如，公司的主营产品之一椎体成形手术产品主要适应症即为骨质疏松性骨折，这类骨折的发病群体有很大比例是老年人群。公司全资子公司Elliquence主营产品椎间孔镜下手术系统产品的适应症之一为腰椎间盘突出，这类病症的发病群体也有相当比例的老年人群。谢谢。
2022-08-10 14:35:00,请问贵公司是否计划提高国外业务占比？国内国外业务占比有何规划？ ,凯利泰：您好，感谢您对公司的关注与支持，公司一直重视产品的海外推广工作，持续推进国际化战略，纵向上，以PKP/PVP产品、Elliquence产品这两条主产品线为依托，对各产品线进行销售划分，分别设立相应的职能管理岗，分条线对各国家的外贸发展业务进行管控；横向上，由国际贸易部对所有产品线的外贸业务进行战略衔接和统筹管理。同时，在业务占比较大的欧美地区，通过给予Elliquence原管理团队更好的激励和更大的自主权以加快创新产品在世界领域的临床研究和产品注册。未来，公司也将根据业务发展情况，适时考虑建立海外分支机构等方式进一步渗透欧美市场，实现公司的国际化战略和国际化跨越。
2022-02-25 17:22:00,集采对公司的利润影响有多少？公司如何应对？ ,凯利泰：您好，感谢您对公司的关注与支持，目前公司部分产品线已经进行了集采，具体可参见公司于2022年1月27日披露的《2021年度业绩预告》的内容，公司将密切关注国家政策，一如既往的夯实既有产品的稳定性，同时加快多元化产业布局，为公司未来的发展打开更多的成长空间。谢谢。
2021-12-15 15:35:00,请问贵公司有无和仿生假肢相关的产品，未来是否有相关计划？ ,凯利泰：您好，感谢您对公司的关注与支持，公司目前暂无仿生假肢相关产品，未来也暂无相关研发生产计划，谢谢。
2021-12-15 15:34:00,您好，请问，贵公司截止11月20日股东人数是多少？谢谢！ ,"凯利泰：您好，感谢您对公司的关注与支持，公司截止2021年11月19日（11月20日为非交易日），股东人数为66,011人。谢谢。"
2021-11-17 10:46:00,董秘：你好，贵公司今年有股票分红安排么？ ,凯利泰：您好，感谢您对公司的关注与支持，关于公司年度分红方案请关注公司后续公告，公司将严格按照监管规定进行披露，谢谢。
